timestamp,force
0.00000,3.00000
0.01669,3.00699
0.03337,3.01398
0.05006,3.02097
0.06674,3.02795
0.08343,3.03494
0.10011,3.04192
0.11680,3.04890
0.13348,3.05588
0.15017,3.06286
0.16685,3.06983
0.18354,3.07680
0.20022,3.08377
0.21691,3.09073
0.23359,3.09769
0.25028,3.10464
0.26696,3.11159
0.28365,3.11854
0.30033,3.12547
0.31702,3.13240
0.33370,3.13933
0.35039,3.14624
0.36707,3.15315
0.38376,3.16006
0.40044,3.16695
0.41713,3.17384
0.43382,3.18072
0.45050,3.18759
0.46719,3.19445
0.48387,3.20130
0.50056,3.20814
0.51724,3.21497
0.53393,3.22179
0.55061,3.22860
0.56730,3.23540
0.58398,3.24219
0.60067,3.24896
0.61735,3.25572
0.63404,3.26247
0.65072,3.26921
0.66741,3.27594
0.68409,3.28265
0.70078,3.28934
0.71746,3.29603
0.73415,3.30270
0.75083,3.30935
0.76752,3.31599
0.78420,3.32261
0.80089,3.32922
0.81758,3.33581
0.83426,3.34238
0.85095,3.34894
0.86763,3.35548
0.88432,3.36201
0.90100,3.36851
0.91769,3.37500
0.93437,3.38147
0.95106,3.38792
0.96774,3.39436
0.98443,3.40077
1.00111,3.40716
1.01780,3.41354
1.03448,3.41989
1.05117,3.42622
1.06785,3.43253
1.08454,3.43882
1.10122,3.44509
1.11791,3.45134
1.13459,3.45757
1.15128,3.46377
1.16796,3.46995
1.18465,3.47611
1.20133,3.48224
1.21802,3.48835
1.23471,3.49444
1.25139,3.50050
1.26808,3.50654
1.28476,3.51256
1.30145,3.51855
1.31813,3.52451
1.33482,3.53045
1.35150,3.53636
1.36819,3.54224
1.38487,3.54810
1.40156,3.55393
1.41824,3.55974
1.43493,3.56552
1.45161,3.57127
1.46830,3.57699
1.48498,3.58268
1.50167,3.58835
1.51835,3.59399
1.53504,3.59960
1.55172,3.60517
1.56841,3.61072
1.58509,3.61624
1.60178,3.62173
1.61846,3.62719
1.63515,3.63262
1.65184,3.63802
1.66852,3.64338
1.68521,3.64872
1.70189,3.65402
1.71858,3.65929
